Date,Nominal,CPI1,CPI2,Real
Feb-14,112.1,100.72,107.67,119.84
Mar-14,112.3,100.93,108.36,120.61
Apr-14,112.5,103.04,108.72,118.67
May-14,111.7,103.46,109.1,117.80
Jun-14,112,103.36,109.3,118.48
Jul-14,111.7,103.46,109.26,117.94
Aug-14,113,103.67,109.08,118.89
Sep-14,117.9,103.88,109.16,123.91
Oct-14,118.6,103.57,108.89,124.67
Nov-14,127.7,103.25,108.3,133.90
Dec-14,131,103.25,107.68,136.60
Jan-15,129.8,103.15,107.18,134.87
Feb-15,130.4,102.94,107.64,136.32
Mar-15,132.2,103.25,108.28,138.60
Apr-15,131.2,103.78,108.5,137.16
May-15,132.6,104.1,109.06,138.92
Jun-15,135.8,103.78,109.44,143.21
Jul-15,135.4,103.67,109.45,142.89
Aug-15,135,103.78,109.29,142.19
Sep-15,131.9,103.88,109.12,138.53
Oct-15,131.8,103.88,109.07,138.35
Nov-15,134.6,103.46,108.84,141.62
Dec-15,133.5,103.46,108.47,139.98
Jan-16,129.8,103.04,108.65,136.84
Feb-16,125.8,103.15,108.74,132.63
Mar-16,124,103.25,109.21,131.11
Apr-16,120.3,103.46,109.72,127.53
May-16,119.5,103.57,110.17,127.10
Jun-16,115.6,103.46,110.53,123.54
Jul-16,114.4,103.25,110.35,122.23
Aug-16,111.1,103.25,110.45,118.88
Sep-16,111.7,103.36,110.72,119.68
Oct-16,114.1,103.99,110.86,121.59
Nov-16,119,103.99,110.68,126.70
Dec-16,127.3,103.78,110.72,135.85
Jan-17,126.1,103.57,111.37,135.59
Feb-17,123.9,103.46,111.72,133.83
Mar-17,123.9,103.46,111.81,133.94
Apr-17,120.8,103.88,112.14,130.45
May-17,123.2,103.99,112.23,132.98
Jun-17,121.7,103.88,112.34,131.65
Jul-17,123.4,103.67,112.26,133.62
Aug-17,120.6,103.88,112.59,130.66
Sep-17,121.6,104.2,113.19,132.09
Oct-17,123.9,104.2,113.12,134.55
Nov-17,123.8,104.52,113.12,134.03
Dec-17,124,104.83,113.06,133.70
Jan-18,121.7,104.94,113.67,131.83
Feb-18,118.5,104.94,114.19,128.96
Mar-18,116.4,104.62,114.45,127.33
Apr-18,118.2,104.52,114.9,129.91
May-18,120.4,104.73,115.38,132.65
Jun-18,120.8,104.62,115.56,133.45
Jul-18,122.4,104.62,115.57,135.22
Aug-18,121.8,105.26,115.63,133.85
Sep-18,123,105.36,115.77,135.20
Oct-18,123.7,105.68,115.97,135.79
Nov-18,124.4,105.47,115.58,136.34
Dec-18,123.2,105.15,115.22,134.95
Jan-19,119.6,105.15,115.43,131.30
Feb-19,121.2,105.15,115.92,133.65
Mar-19,122,105.15,116.58,135.26
Apr-19,122.5,105.47,117.19,136.17
May-19,120.7,105.47,117.44,134.42
Jun-19,118.6,105.26,117.47,132.39
Jul-19,118.9,105.26,117.66,132.88
Aug-19,116.6,105.47,117.66,130.03
Sep-19,118,105.57,117.75,131.66
Oct-19,118.7,105.89,118.02,132.30
Nov-19,119.5,105.99,117.96,132.98
Dec-19,119.8,105.99,117.85,133.15
Jan-20,119.9,105.99,118.31,133.87
Feb-20,120.8,105.78,118.63,135.44
Mar-20,118.2,105.78,118.37,132.25
Apr-20,118.3,105.68,117.58,131.58
May-20,117.7,105.57,117.58,131.06
Jun-20,118.1,105.36,118.23,132.50
Jul-20,117.1,105.47,118.82,131.93
Aug-20,116.4,105.57,119.2,131.39
Sep-20,115.9,105.36,119.36,131.31
Oct-20,115.5,105.26,119.41,131.02
Nov-20,114.6,104.94,119.34,130.33
Dec-20,113.9,104.73,119.45,129.95
Jan-21,113.9,105.26,119.96,129.84
Feb-21,115.7,105.26,120.62,132.55
Mar-21,119.3,105.36,121.47,137.56
Apr-21,119.7,104.52,122.47,140.26
May-21,119.8,104.83,123.45,141.04
Jun-21,120.9,104.94,124.6,143.51
Jul-21,121,105.15,125.2,144.05
Aug-21,120.6,105.15,125.46,143.87
Sep-21,120.9,105.57,125.8,144.09
Oct-21,124.2,105.36,126.84,149.49
Nov-21,125.1,105.57,127.47,151.04
Dec-21,125,105.57,127.86,151.33
Jan-22,126,105.78,128.93,153.63
Feb-22,126.5,106.2,130.11,155.02
Mar-22,130.2,106.63,131.85,160.95
Apr-22,138.7,107.05,132.59,171.81
May-22,141.4,107.37,134.05,176.58
Jun-22,147,107.37,135.89,186.11
Jul-22,150.1,107.89,135.87,188.98
Aug-22,148.5,108.31,135.82,186.21
Sep-22,157.3,108.74,136.12,196.88
Oct-22,161.4,109.37,136.67,201.71
Nov-22,156.4,109.58,136.53,194.81
Dec-22,148.1,109.79,136.11,183.60
Jan-23,143.2,110.42,137.2,177.91
Feb-23,146,109.69,137.96,183.70
Mar-23,146.7,110.11,138.42,184.45
Apr-23,146.5,110.85,139.12,183.89
May-23,150.4,110.85,139.47,189.29
Jun-23,155.2,110.95,139.92,195.68
Jul-23,154.7,111.48,140.19,194.55
Aug-23,158.9,111.69,140.8,200.35
Sep-23,162.3,112.01,141.15,204.52
Oct-23,164.2,112.95,141.1,205.12
Nov-23,164.3,112.74,140.81,205.20
Dec-23,158,112.64,140.67,197.38
Jan-24,160.6,112.74,141.44,201.46
